Romence Kelime,Kelime Türü,İngilizce Anlamı,Türkçe Anlamı,Örnek Cümle
căsătorit(ă),sıfat,married,evli,Este un bărbat căsătorit.
"către, de către",edat,"to, toward(s), by","-a/-e doğru, tarafından",Mergem pe jos către stație.
cățăra (se),fiil,climb,tırmanmak,S-a cățărat pe munte până în vârf.
cățel,isim,puppy,köpek yavrusu,Cățelul nostru este drăguț.
căuta,fiil,look for/up,aramak,Căutăm cuvintele noi în dicționar.
câine,isim,dog,köpek yavrusu,"Merg cu câinele la plimbare, în parc."
câmpie,isim,field,"yayla, düzlük",Câmpiile sunt verzi.
când,zarf,when,"-duğu zaman, -duğunda",Mergem la film când avem timp liber.
cândva,zarf,one day,bir ara,O să venim la voi cândva.
cânta,fiil,sing,şarkı söylemek,Formația mea preferată cântă în această seară.
cântar,isim,scale,tartı,Am pus portocalele pe cântar.
cântăreț,isim,singer,şarkıcı,Vrea să fie un cântăreț celebru.
cântări,fiil,weight,tartmak,Am cântărit merele.
cântec,isim,song,şarkı,"Ascult un cântec frumos, la radio."
câștiga,fiil,"earn, win, gain",kazanmak,Câștigă mulți bani din acest proiect.
cât,zarf,how much,ne kadar,Cât costă pâinea?
câteodată,zarf,sometimes,bazen,Câteodată plouă.
câți / câte,zamir,how many,kaç,Câți oameni sunt în sală?
câțiva / câteva,zamir,"some, several, a few",birkaç,Câțiva nu știu limba franceză.
ce,zamir,what,ne,Ce dorești? De ce ai întârziat?
ceai,isim,tea,çay,Beau un ceai fierbinte.
ceainic,isim,teapot,"çaydanlık, demlik",Am pus ceainicul pe aragaz.
ceapă,isim,onion,soğan,Nu vreau ceapă în salată.
cearșaf,isim,bedsheet,çarşaf,Cearșafurile sunt curate.
ceas,isim,"clock, watch",saat,Are un ceas nou.
ceașcă,isim,cup,fincan,Ceașca cu cafea este pe tavă.
ceață,isim,"fog, mist",sis,Primăvara este ceață pe mare.
"cel, cea",zamir/tanımlık,the/that... one,"orada olan, oradaki, şuradaki",Cel de acolo e fratele meu.
"celălalt, cealaltă",zamir,the other one,diğeri,Celălalt nu mai vine în excursie.
"celebru, celebră",sıfat,famous,ünlü,O scriitoare celebră a acceptat invitația.
centru,isim,centre,merkez,Ne plimbăm în centru.
cer,isim,sky,gök,Cerul este senin.
cerc,isim,"circle, club",çember,A desenat un cerc.
cercel,isim,earring,küpe,A pierdut un cercel.
cere,fiil,"ask for, request",istemek,Clientul a cerut un pahar cu apă rece.
cerere,isim,"request, demand",dilekçe,A făcut o cerere la secretariat.
cerneală,isim,ink,mürekkep,Scrie cu cerneală.
certa (se),fiil,"scold, lecture, argue","azarlamak, kavga etmek",Mama nu a certat copilul.
ceva,zamir,something,bir şey,Comandă ceva pentru cină.
cheie,isim,key,anahtar,A uitat cheia în ușă.
chelner,isim,waiter,garson,Chelnerul este amabil.
chelneriță,isim,waitress,garson,Chelnerița a luat comanda.
cheltui,fiil,spend,harcamak,Am cheltuit mulți bani în concediu.
chema,fiil,"call, summon",çağırmak,Vecinii au chemat salvarea.
chiar,zarf,"right, even though, although","şu an, bile",A venit chiar acum.
chibrit,isim,match,kibrit,Vreau un chibrit pentru a aprinde focul.
chiflă,isim,bread roll,çörek ekmek,Cumpărăm chifle proaspete.
chiftea,isim,meatball,köfte,Chiftelele sunt delicioase.
chioșc,isim,kiosk,büfe,Cumpăr ziare de la chioșc.
chirie,isim,rent,kira,A plătit chiria luna aceasta.
chirurg,isim,surgeon,cerrah,Chirurgul a intrat în sala de operații.
chitară,isim,guitar,gitar,Vrea să cânte la chitară.
chiuvetă,isim,"sink, washbasin",lavabo,Săpunul este la chiuvetă.
ci,bağlaç,but,ama,"Nu locuiește la casă, ci la bloc."
cină,isim,"dinner, supper",akşam yemeği,Luăm cina în oraș.
cinci,sayı,five,beş,Locuiesc la etajul cinci.
cine,zamir,who,kim,Cine este acum în clasă?
cinema/cinematograf,isim,cinema,sinema,Vedem un film la cinema.
cineva,zamir,someone,kimse,Cineva vrea să plece.
ciocolată,isim,chocolate,çikolata,Nu a cumpărat ciocolată.
ciorap,isim,"sock, tights",çorap,Ciorapii sunt în dulap.
ciorbă,isim,sour soup,çorba,Mama pregătește ciorbă de legume pentru prânz.
circ,isim,circus,sirk,Am cumpărat bilete la circ.
circula,fiil,circulate,geçmek,Pe această stradă circulă numai pietoni.
cireașă,isim,cherry,kiraz,Am cules cireșe din grădina noastră.
citi,fiil,read,okumak,Citește în fiecare zi.
ciudat(ă),sıfat,"strange, weird","garip, tuhaf",Am avut un vis ciudat.
ciupercă,isim,mushroom,mantar,Bucătarul folosește ciuperci proaspete.
cizmă,isim,boot,çizme,Iarna purtăm cizme.
clar(ă),sıfat/zarf,clear(ly),"açık, net",A dat un răspuns clar.
clasă,isim,"class, classroom",sınıf,Clasa noastră este luminoasă.
clasic(ă),sıfat,classical,klasik,Ascultăm muzică clasică.
clădire,isim,building,bina,Clădirile din centrul vechi sunt interesante.
clătită,isim,pancake,krep,La desert avem clătite.
club,isim,club,kulüp,Sâmbătă seară ne întâlnim la club.
coace,fiil,bake,fırında pişirmek,Ea coace pâinea în cuptor.
coadă,isim,"tail, queue, line","kuruk, sıra",Pisica mea are coada neagră.
coafor,isim,hairdresser’s,kuaför,Am programare la coafor.
coajă,isim,"peel, crust",kabuk,Copilul mănâncă merele fără coajă.
coase,fiil,sew,dikmek,Coase nasturii cu ață albă.
coborî,fiil,"descend, go down",inmek,Coboară mereu pe scări.
cocos,isim,coconut,Hindistan cevizi,Nu-i place gustul de cocos.
cocoș,isim,"cock, rooster",horoz,Cocoșul cântă în fiecare dimineață.
cofetărie,isim,cake shop,pastane,Cumpăr prăjituri de la cofetărie.
coleg,isim,"colleague, classmate","sınıf arkadaşı, iş arkadaşı",Colegul meu de bancă este foarte serios.
coloană,isim,"spine, backbone, column",sütün,A făcut o radiografie pentru coloana vertebrală.
colora,fiil,colour,boyamak,Copiii colorează imaginile din carte.
comanda,fiil,order,sipariş vermek,Comandăm mâncarea acasă.
comisie,isim,"board, committee",komisyon,Comisia a hotărât rezultatul.
comod(ă),sıfat/zarf,comfortable/bly,rahat,Am cumpărat niște pantofi comozi.
compara,fiil,compare,karşılaştırmak,Comparăm prețurile și apoi cumpărăm.
competiție,isim,competition,yarışma,A participat la competiție.
complet(ă),sıfat/zarf,"complete(ly), in full","tam, eksiksiz",Dosarul este complet.
completa,fiil,fill in,"tamamlamak, doldurmak",Completează formularul.
complicat(ă),sıfat,complicated,"karışık, karmaşık",Este un exercițiu complicat.
comportament,isim,behaviour,davranış,Are probleme de comportament.
compot,isim,stewed fruit,"komposto, hoşaf",Bunica a făcut compot de cireșe.
compune,fiil,compose,bestelemek,A compus un cântec pentru chitară.
compunere,isim,composition,kompozisyon,Scrie compunerea în clasă.
comun(ă),sıfat,common,ortak,Căminul are o sală de studiu comună.
comunica,fiil,communicate,iletişim kurmak,Comunicăm bine cu profesorii noștri.
concediu,isim,"holiday, leave",izin,Am avut 2 săptămâni de concediu.
concert,isim,concert,konser,Mergem împreună la concert.
concurs,isim,contest,yarışma,A participat la concurs.
condiment,isim,spice(s),baharat,Folosim condimente în mâncare.
conduce,fiil,"manage, run, drive, lead, accompany","yönetmek, sürmek, eşlik etmek",Directorul conduce compania.
confortabil(ă),sıfat,comfortable,"rahat, konforlu",Stă la birou pe un scaun confortabil.
conopidă,isim,cauliflower,karnabahar,Conopida conține multe vitamine.
conservă,isim,"tin, can, preserve",konserve,Am făcut conserve pentru iarnă.
construi,fiil,build,"inşa etmek, oluşturmak, kurmak",Copilul construiește un castel de nisip.
consulta,fiil,"check, consult","muhayene etmek, başvurmak, danışmak",Doctorul consultă pacientul.
consultație,isim,check up,muhayene,Consultația medicală este scumpă.
consuma,fiil,"consume, use up",tüketmek,Consumă mult zahăr.
cont,isim,account,hesap,Banii au intrat în cont.
continent,isim,continent,kıta,De pe continent pe insulă a mers cu vaporul.
continua,fiil,continue,devam etmek,Noi continuăm acasă exercițiul început în clasă.
controla,fiil,"check, control","kontrol etmek, denetlemek",Profesorul controlează temele.
conține,fiil,contain,içermek,Fructele conțin multe vitamine.
conversație,isim,conversation,konuşma,Am ascultat o conversație interesantă dintre doi specialiști.
copac,isim,tree,ağaç,Copacii din parc sunt bătrâni.
copertă,isim,cover,kapak,Coperta cărții este roșie.
copia,fiil,copy,kopyalamak,El copiază modelul exercițiului din manual.
copil,isim,child,çocuk,Copiii se joacă în parc.
"copt, coaptă",sıfat,"ripe, baked",pişmış,Strugurii copți sunt dulci.
corect(ă),sıfat/zarf,correct(ly),doğru,Exercițiul este corect.
corecta,fiil,"check, mark",düzeltmek,Profesoara corectează testele studenților.
corn,isim,croissant,simit,Mănâncă la micul dejun un corn cu ciocolată.
corp,isim,body,"vücut, beden",Tânăra are un corp armonios.
cort,isim,tent,çadır,Mergem în excursie cu cortul.
costa,fiil,cost,tutmak,Cât costă această mașină?
costum,isim,"suit, costume",takım elbise,Domnul Georgescu merge la birou în costum.
coș,isim,"basket, bin, pimple, spot","sepet, sivilce",Coșul de gunoi / pâine / cumpărături este plin.
cot,isim,elbow,dirsek,Îl doare cotul stâng.
covor,isim,"rug, carpet",halı,Are un covor lung pe hol.
covrig,isim,pretzel,simit,Mănâncă covrigi în pauză.
cozonac,isim,Christmas bread,kozanak,Mama face cozonac cu nuci.
cratiță,isim,saucepan,tencere,Cratița este pe aragaz.
cravată,isim,tie,kravat,Poartă mereu cravată la costum.
Crăciun,isim,Christmas,Nöel,Vacanța de Crăciun începe în decembrie.
crede,fiil,"believe, think","inanmak, sanmak",Nu cred nimic din ce spui.
creier,isim,brain,beyin,Neurologul face operații pe creier.
creion,isim,pencil,kalem,Are multe creioane în penar.
cremă,isim,"cream, lotion, polish",krem,Nu folosesc cremă de mâini / plajă / ghete.
crește,fiil,"grow, raise",büyümek,Copacul crește încet.
cretă,isim,chalk,tebeşir,Scriu cu creta pe tablă.
cu,edat,"with, by",ile,Scriu cu stiloul.
cuier,isim,coat rack,askılık,Am pus haina în cuier.
culca,fiil,"go to bed, put to sleep","yatırmak, yatmak",Mama culcă bebelușul.
culege,fiil,pick,toplamak,Alina culege flori din grădină.
cum,zarf,how,nasıl,Cum te cheamă?
cuminte,sıfat,well-behaved,uslu,George este un copil cuminte.
cumnat,isim,in-laws,"kayın,bacanak, yenge, görümce",La nuntă au venit toți cumnații și cumnatele mele.
cumpăra,fiil,buy,satın almak,Cumpăr o mașină electrică.
cumva,zarf,"somehow, by any chance","bir şekilde, acaba",A făcut cumva și a ajuns devreme.
cunoaște,fiil,know,tanımak,El cunoaște multă lume.
cuprins,isim,contents,içindekiler,În cuprins găsești capitolele cărții.
cuptor,isim,oven,fırın,Mama scoate pâinea din cuptor.
curaj,isim,courage,cesaret,Nu am curaj să merg la stomatolog.
"curajos, curajoasă",sıfat,brave,cesaretli,Leul este un animal curajos.
curat(ă),sıfat,clean,temiz,Am o cameră curată.
curăța,fiil,"clean, peel",temizlemek,Amelia curăță fructele pentru compot.
curând,zarf,soon,yakın zamanda,Ne vedem curând la București.
curea,isim,belt,kemer,Nu am curea la pantaloni.
curent,isim,"electricity, draught","elektrik akımı, haberdar olmak",S-a întrerupt curentul.
curge,fiil,"flow, running",akmak,La baie nu curge apa.
"curios, curioasă",sıfat,curious,meraklı,Pisica mea este foarte curioasă.
curs,isim,"course, lecture","ders, kurs",Azi nu avem cursuri.
curte,isim,(court)yard,avlu,Curtea casei este mare.
cutie,isim,box,kutu,A pus pantofii la loc în cutie.
cuțit,isim,knife,bıçak,Cuțitul taie bine.
cuvânt,isim,word,"kelime, söz",Am învățat multe cuvinte în limba română.
da,zarf,yes,evet,"Da, vin și eu cu voi."
da,fiil,yes,evet,I-am dat Ioanei o carte.
dacă,bağlaç,if,eğer,Dacă plouă stau acasă.
dans,isim,dance,dans,Tangoul este un dans argentinian.
dansa,fiil,dance,dans etmek,Dansez mereu la petreceri.
dar,bağlaç,but,"ama, fakat","Am citit, dar nu am înțeles."
dar,isim,but,"ama, fakat",Am primit în dar o mașină.
dată,isim,"date, data","tarih, defa",Ce dată e azi?
de,edat,"of, from","-, -dan/den/tan/ten, üzeri",Cartea de chimie este pe masă.
deal,isim,hill,tepe,Am urcat la casa din deal.
deasupra,edat,above,üst,Deasupra mesei este un tablou.
decât,edat,"than, just, only",-dan/den,Nu vreau decât o cafea.
decembrie,isim,December,aralık,În decembrie ninge.
deci,bağlaç,"so, therefore",dolayısıyla,"Am învățat, deci sunt pregătit de examen."
decide,fiil,decide,karar vermek,A decis unde merge în vacanță.
dedesubt,zarf,"below, underneath",alt,Maria locuiește dedesubt.
defect,isim,"flaw, defect",kusur,Este o persoană fără defecte.
degeaba,zarf,"in vain, for nothing",boşuna,"Stă degeaba, nu mai face nimic."
deget,isim,"finger, toe",parmak,A pus multe inele pe degete.
deja,zarf,already,"zaten, artık",Deja vorbesc limba română.
delicat(ă),sıfat,"dainty, delicate","zarif, hassas",Carmen este o fată delicată.
"delicios, delicioasă",sıfat,delicious,nefis,Am mâncat o prăjitură delicioasă.
deloc,zarf,(not) at all,hiç,Nu cunosc deloc Constanța.
demult,zarf,long ago,uzun zaman önce,Am plecat demult din România.
dentist,isim,dentist,dişçi,Azi merg la dentist.
deoarece,bağlaç,because,çünkü,"Deoarece nu mă simt bine, merg la spital."
deocamdată,zarf,for now,şimdilik,Deocamdată rămânem la Paris.
deosebit(ă),sıfat,special,"farklı, özel",Sora mea este o persoană deosebită.
departe,zarf/edat,far,uzak,Eu locuiesc departe / departe de facultate.
deranja,fiil,disturb,rahatsız etmek,Nu vă deranjați colegii în timpul examenului.
des,zarf,often,sık,Mergem des la cumpărături.
descălța,fiil,take off (shoes),ayakkabı çıkarmak,Mama descalță copilul la intrarea în casă.
descărca,fiil,"unload, download","boşaltmak, indirmek, deşarj etmek/olmak",Bateria telefonului s-a descărcat.
deschide,fiil,open,açmak,Elevul deschide fereastra.
descoperi,fiil,discover,keşfetmek,Specialiștii au descoperit un vaccin nou.
descuia,fiil,unlock,açmak,Descui ușa cu cheia.
deseară / diseară,zarf,tonight,akşam,Deseară mergem la teatru.
desena,fiil,draw,çizmek,Copilul desenează frumos.
deseori,zarf,often,sıklıkla,Vorbim deseori la telefon.
desert,isim,dessert,tatlı,La desert mâncăm fructe.
desface,fiil,"open, undo",açmak,Maria desface cadoul primit.
desigur,zarf,of course,tabii ki,Desigur că ne întâlnim la restaurant.
despacheta,fiil,unpack,boşaltmak,După concediu despachetăm bagajele.
despărți (se),fiil,"separate, split up","ayırmak, ayrılmak",Peretele acesta desparte bucătăria de dormitor.
despărțire,isim,separation,ayrılma,Despărțirea de familie este grea.
despre,edat,about,hakkında,Vorbim despre afaceri.
destinatar,isim,recipient,alıcı,Scrisoarea nu a ajuns la destinatar.
destinație,isim,destination,istikamet,Am ajuns la destinație.
destul,zarf,enough,"kafi, yeter",Ai mâncat destul.
deși,bağlaç,"although, even though","gerçi, -a/-e rağmen","Deși nu am învățat, merg la examen."
"deștept, deșteaptă",sıfat,"smart, clever",akıllı,Mirela este o fată deșteaptă.
deveni,fiil,become,olmak,Vlad a devenit medic.
devreme,zarf,early,erken,Începem cursurile devreme.
dezbrăca (se),fiil,undress,soyunmak,Asistenta dezbracă pacientul pentru RMN.
dezlega,fiil,untie,çözmek,Dezleagă șireturile.
dezordine,isim,mess,dağınıklık,În cameră este dezordine.
dezvolta,fiil,"develop, set up",geliştirmek,A dezvoltat o afacere imobiliară în București.
dialog,isim,dialogue,diyalog,A intrat în dialog cu presa.
dicta,fiil,dictate,dikte etmek,Veronica dictează clar cerința.
dictare,isim,dictation,"dikte, yazdırma",Profesoara le dă o dictare elevilor.
dicționar,isim,dictionary,sözlük,Pe masă am un dicționar.
diferit(ă),sıfat,"different, various",farklı,Avem obiceiuri diferite de sărbători.
dificil(ă),sıfat,difficult,zor,Este un exercițiu dificil.
dimineață,zarf,morning,sabah,Ne trezim dimineață.
dimineață,isim,morning,sabah,Diminețile la munte sunt reci.
din,edat,from,-dan/-den/-tan/-ten,El este din București.
dincolo,zarf,"over there, the other way",diğer tarafta,Acolo este farmacia și dincolo este librăria.
dinte,isim,tooth,diş,Mă dor dinții de la înghețată.
dintre,edat,"of, among",arasında,Mulți dintre invitați au sosit deja.
diplomă,isim,"degree, diploma",diploma,Are o diplomă de inginer.
direct(ă),sıfat/zarf,"straight, directly","doğru, doğrudan",Din Constanța este un tren direct până la Brașov.
director,isim,"principal, headmaster, general manager",müdür,Directorul nu este azi la birou.
discuta,fiil,"talk, discuss",konuşmak,Florina discută mult cu părinții ei.
discuție,isim,"talk, discussion",konuşma,A avut o discuție cu secretara.
dispărea,fiil,disappear,kaybolmak,Cățelul a dispărut din curte.
distanță,isim,distance,mesafe,Păstrează distanța!
distra (se),fiil,"distract, have fun, entertain",eğlenmek,La petrecere studenții se distrează foarte bine.
distracție,isim,"fun, entertainment",eğlence,În căminul studențesc este multă distracție.
divers(ă),sıfat,various,çeşitli,Iancu are preocupări diverse.
divorța,fiil,(get a) divorce,boşanmak,Ea a divorțat anul trecut.
dizolva (se),fiil,dissolve,"eritmek, erimek",Dizolvăm soluția într-un litru de apă.
doamnă,isim,"lady, madam","bayan, hanım",În parc sunt două doamne.
doar,zarf,"just, only","yalnız, sadece",Au rămas doar două zile până la examen.
doctor,isim,doctor,doktor,Azi nu merg la doctor.
doi / două,sayı,two,iki,Au venit doi copii / două fete.
domn,isim,"gentleman, mister, sir",bey,Pe stradă sunt doi domni.
domnișoară,isim,miss,bayan,Domișoara Popescu așteaptă taxiul.
dor,isim,longing,özlem,Mi-e dor de mama.
dori,fiil,"want, wish","arzu etmek, istemek",La cină doresc doar o salată asortată.
dorință,isim,"wish, desire",arzu,Tinerii au multe dorințe pentru viitor.
dormi,fiil,sleep,uyumak,Pisica doarme mult.
dormitor,isim,bedroom,yatak odası,În dormitor nu are televizor.
dovleac,isim,pumpkin,bal kabağı,Facem o plăcintă cu dovleac.
dovlecel,isim,courgette,kabak,Am gătit o mâncare cu vinete și dovlecei.
drag(ă),sıfat,dear,"sevgili, canım","Dragă mamă / Dragii mei, azi facem o plimbare în parc."
"drept, dreaptă",sıfat,straight,düz,Drumul drept este cel mai scurt.
drept,zarf,"truth(full), straight","düz, doğru",Vorbește drept cu oricine.
drept,isim,"truth(full), straight","düz, doğru",Facultatea de Drept este aproape.
drăguț(ă),sıfat,"cute, nice",sevimli,Tiny este un cățel drăguț.
drum,isim,"path, road, journey, way",yol,Drumul până la mall este scurt.
"dublu, dublă",sıfat/zarf,"double, twice","çift, duble",Vreau o porție dublă de cartofi prăjiți.
duce (se),fiil,take,"götürmek, gitmek",Mama duce copilul la școală.
dulap,isim,"cabinet, cupboard",dolap,Am pus hainele în dulap.
dulce,sıfat,sweet,tatlı,Am băut o cafea dulce.
dulciuri,isim,sweets,tatlılar,Copilul mănâncă multe dulciuri.
dulceață,isim,jam,reçel,Am făcut dulceață de vișine.
duminică,isim,Sunday,pazar,Duminică mergem la piscină.
dumneavoastră,zamir,you (polite form),siz,Dumneavoastră sunteți invitatul nostru.
după,edat,"after, behind","sonra, arka",După curs mergem la film.
după-amiază,zarf,afternoon,öğlenden sonra,După-amiază mergem la plajă.
dura,fiil,last,sürmek,Nu știu cât durează concertul.
durea,fiil,"ache, hurt",ağırmak,Mă doare urechea.
durere,isim,"ache, pain",ağrı,Am o durere puternică de cap.
duș,isim,shower,duş,După plajă fac un duș rece.
ea,zamir,she,o,Ea este sora mea.
echipă,isim,team,takım,Echipa de fotbal a câștigat competiția.
efort,isim,effort,çaba,După operație nu facem efort.
egal(ă),sıfat,"draw, equal",eşit,Meciul s-a terminat cu un scor egal.
egois(ă),sıfat,selfish,bencil,Marcel este o persoană egoistă.
el,zamir,he,o,El este fratele meu.
elefant,isim,elephant,fil,Elefantul este un animal protejat.
elegant(ă),sıfat,elegant,"zarif, ince",Laura are o rochie elegantă.
elev,isim,"pupil, student",öğrenci,Elevii sunt în vacanță.
elicopter,isim,helicopter,elikopter,Mihai zboară cu elicopterul.
emisiune,isim,TV show,"program, yayın",Nu am o emisiune preferată.
emoție,isim,nervousness,heyecan,Înainte de examen am emoții.
emoționa (se),fiil,get emotional,"duygulanmak, heyecanlanmak",Filmele de dragoste mă emoționează adesea.
emoționat(ă),sıfat,nervous,"duygulanmış, heyecanlı","La finalul studiilor, toți studenții sunt emoționați."
enerva (se),fiil,annoy,sinirlenmek,Clientul acesta mă enervează.
est,isim,east,doğu,Locuiește la est de Marea Neagră.
eșarfă,isim,scarf,eşarp,Port o eșarfă colorată.
etaj,isim,floor,kat,Locuiesc la primul etaj.
eu,zamir,I,ben,Eu sunt din România.
eveniment,isim,event,etkinlik,A organizat un eveniment important.
examen,isim,exam,sınav,Mâine avem examen.
excelent(ă),sıfat,excellent,"çok iyi, şahane",Noi avem rezultate excelente la limba română.
excursie,isim,trip,gezi,Duminică plecăm în excursie la Sibiu.
exemplu,isim,example,örnek,A dat multe exemple copiilor.
exercițiu,isim,exercise,"alıştırma, uygulama",Rezolv un exercițiu dificil.
exista,fiil,exist,"olmak, var olmak",În București există multe parcuri.
expeditor,isim,sender,gönderen,Expeditorul este anonim.
explica,fiil,explain,açıklamak,Profesoara explică lecția.
explicație,isim,explanation,açıklama,Ghidul oferă explicații turiștilor.
expoziție,isim,exhibition,sergi,Am vizitat expoziția de pictură.
exprima (se),fiil,express,ifade etmek,Zâmbetul lui exprimă satisfacție.
exterior,zarf,"exterior, outside",dış,Spălăm mașina doar la exterior.
extern(ă),sıfat,external,"dış, dışardan",Acestea sunt probleme de politică externă.
extraordinar(ă),sıfat/zarf,"extraordinary, extremely","sıradışı, olağanüstü",A făcut eforturi extraordinare pentru a reuși.
face (se),fiil,"do, make, become","yapmak, olmak",Fac o supă de roșii.
factură,isim,bill,fatura,Plătesc factura imediat.
facultate,isim,faculty,fakülte,S-a înscris la facultate.
"faimos, faimoasă",sıfat,famous,"ünlü, meşhur",Luăm masa la un restaurant faimos din portul turistic.
faleză,isim,"cliff walk, boardwalk","falez, sahil",Facem o plimbare pe faleză.
fals(ă),sıfat/zarf,false(ly),sahte,A găsit o bancnotă falsă.
familie,isim,family,aile,Ea are o familie numeroasă.
farfurie,isim,plate,tabak,Farfuriile sunt curate.
farmacie,isim,pharmacy,eczane,Farmacia este închisă acum.
fasole,isim,beans,fasulye,A mâncat o ciorbă de fasole.
fată,isim,girl,kız,Fetele ei sunt frumoase.
față,isim,face,yüz,Maria are o față rotundă.
favorabil(ă),sıfat,favourable,elverişli,Vremea este favorabilă excursiilor.
făină,isim,flour,un,Am cumpărat un kg de făină fără gluten.
fără,edat,without,-sız/siz,Este șapte fără un sfert.
febră,isim,fever,ateş,Copilul nu are febră.
februarie,isim,February,şubat,În februarie este ziua îndrăgostiților.
fel,isim,"way, dish","yol, çeşit",El nu are un fel de mâncare preferat.
felicita,fiil,congratulate,kutlamak,O felicităm de ziua ei.
felicitare,isim,"greeting card, congratulations",tebrik,Trimitem bunicilor felicitări de sărbători.
felie,isim,slice,dilim,Am mâncat o felie de pizza.
femeie,isim,woman,"bayan, kadın",Maria este o femeie frumoasă.
fereastră,isim,window,pencere,Dimineața deschid fereastra.
fericire,isim,happiness,mutluluk,Plânge de fericire.
fericit(ă),sıfat,happy,mutlu,Este fericit că a luat examenul.
"fermecător, fermecătoare",sıfat,charming,"çekici, hoş",Este un tânăr fermecător.
festival,isim,festival,festival,Am fost la festivalul berii.
fi,fiil,be,olmak,Mi-e foame / sete / cald / frig / rău / bine / greu / ușor / frică / poftă / rușine.
ficat,isim,liver,karaciğer,A cumpărat un ficat de gâscă.
fiecare,sıfat/zamir,"each, every",her,Fiecare student are manuale.
fidel(ă),sıfat,faithful,sadık,Câinele este un animal fidel.
fierbe,fiil,boil,haşlamak,Mama fierbe apa pentru cafea.
fierbinte,sıfat,hot,kaynak,Ceaiul este fierbinte.
"fiert, fiartă",sıfat,boiled,haşlanmış,Am mâncat un ou fiert.
fiică,isim,daughter,kız,Are o fiică studentă.
fiindcă,bağlaç,because,çünkü,A venit fiindcă l-am chemat.
fin(ă),sıfat,"delicate, fine","ince, zarif",Mătasea este un material fin.
fin,isim,godchild,vaftiz çocuğu,Finul meu este avocat.
final,isim,end(ing),"final, son",Filmul a avut un final fericit.
finaliza,fiil,"finish, complete","bitirmek, sonlandırmak",Muncitorii au finalizat lucrările la timp.
firesc,zarf,naturally,"aşikar, doğal",Se comportă firesc cu soacra ei.
firește,zarf,of course,tabii ki,Firește că ajung devreme acasă azi.
firmă,isim,company,şirket,Are o firmă de construcții.
fistic,isim,pistachio,fıstık,Mănâncă înghețată de fistic.
fișier,isim,file,dosya,Nu poate deschide fișierul.
fiu,isim,son,oğlan,Fiul său este inginer.
fix(ă),sıfat,sharp,"sabit, tam",Este ora opt fix.
floare,isim,flower,çiçek,Am oferit un buchet de flori.
florărie,isim,flower shop,çiçekçilik,La florărie găsim și flori la ghiveci.
fluture,isim,butterfly,kelebek,Are o colecție de fluturi exotici.
foaie,isim,sheet,sayfa,Pe masă sunt multe foi cu exerciții.
foame,isim,hunger,açlık,Bebelușul plânge de foame.
foarfecă,isim,scissors,makas,Am tăiat bluza cu foarfeca.
foarte,zarf,very,çok,Azi este foarte cald.
foc,isim,fire,ateş,Focul arde liniștit.
folosi,fiil,use,kullanmak,Folosim dicționarul pentru traducere.
"folositor, folositoare",sıfat,useful,faydalı,Manualul este folositor pentru gramatică.
forma,fiil,"form, shape, dial","oluştumak, çevirmek",Formez un număr de telefon.
formă,isim,"form, shape, mould",şekil,Punem cozonacul în forme.
formular,isim,form,form,Completez un formular.
forță,isim,"force, strength","güç, kuvvet",Nu are forță să deschidă fereastra.
fotbal,isim,football,futbol,Joacă fotbal de mic.
fotografie,isim,photo,fotograf,Face o fotografie cu părinții.
fotoliu,isim,armchair,koltuk,Fotoliul este confortabil.
frate,isim,brother,erkek kardeş,Am un frate mai mare.
frecvent,zarf,"frequently, often",sıklıkla,"Iese frecvent cu prietenii, în oraș."
frică,isim,fear,korku,Leul nu are frică de nimic.
"fricos, fricoasă",sıfat,scaredy,korkak,Iepurii sunt fricoși.
frig,isim,cold (weather),soğuk,Iarna este frig.
frigider,isim,fridge,buzdolabı,Punem alimentele în frigider.
friptură,isim,"steak, roast",rosto,La restaurant a cerut friptură cu legume.
frișcă,isim,whipped cream,krem şanti,Preferă prăjiturile cu frișcă.
frizer,isim,barber,berber,Frizerul tunde bine.
frontieră,isim,"border, frontier","sınır, hudut",Poliția de frontieră este vigilentă.
fruct,isim,fruit,meyve,Mănâncă numai fructe proaspete.
"frumos, frumoasă",sıfat/zarf,beautiful,güzel,Ana are o rochie frumoasă.
frunte,isim,forehead,alın,Sorin are o frunte lată.
frunză,isim,leaf,yaprak,"Toamna, frunzele copacilor sunt galbene și roșii."
fugi,fiil,run,koşmak,Fuge în fiecare dimineață după autobuz.
fular,isim,scarf,"eşarp, atkı","Dacă este frig, purtăm fular."
fulger,isim,lightning,yıldırım,Afară este o ploaie cu fulgere și tunete.
fuma,fiil,smoke,sigara kullanmak/içmek,Nu fumați în acest loc!
funcționa,fiil,"function, work",çalışmak,Frigiderul nu funcționează.
fura,fiil,steal,çalmak,Pisica a furat mâncarea de pe masă.
furculiță,isim,fork,çatal,Am pus pe masă două furculițe și două cuțite.
furtună,isim,storm,fırtına,La meteo se anunță o furtună.
fustă,isim,skirt,etek,Fusta fetei este scurtă.
galben(ă),sıfat,yellow,sarı,Preferă merele galbene.
garaj,isim,garage,garaj,Nu poate intra cu mașina în garaj.
gară,isim,railway station,gar,Așteaptă de o oră trenul în gară.
gard,isim,"fence, wall",çit,Curtea școlii are un gard înalt.
garsonieră,isim,studio flat,tek odalı daire,A închiriat o garsonieră pentru un an.
